币种,最小下单量
BTC-USDT,0.00001000
ETH-USDT,0.00010000
BNB-USDT,0.00100000
BCC-USDT,0.00001000
NEO-USDT,0.01000000
LTC-USDT,0.00100000
QTUM-USDT,0.10000000
ADA-USDT,0.10000000
XRP-USDT,1.00000000
EOS-USDT,0.10000000
TUSD-USDT,1.00000000
IOTA-USDT,1.00000000
XLM-USDT,1.00000000
ONT-USDT,1.00000000
TRX-USDT,0.10000000
ETC-USDT,0.01000000
ICX-USDT,0.10000000
VEN-USDT,0.01000000
NULS-USDT,1.00000000
VET-USDT,0.10000000
PAX-USDT,0.01000000
BCHABC-USDT,0.00001000
BCHSV-USDT,0.00001000
USDC-USDT,1.00000000
LINK-USDT,0.01000000
WAVES-USDT,0.01000000
BTT-USDT,1.00000000
USDS-USDT,0.01000000
ONG-USDT,1.00000000
HOT-USDT,1.00000000
ZIL-USDT,0.10000000
ZRX-USDT,1.00000000
FET-USDT,0.10000000
BAT-USDT,1.00000000
XMR-USDT,0.00100000
ZEC-USDT,0.00100000
IOST-USDT,1.00000000
CELR-USDT,0.10000000
DASH-USDT,0.00100000
NANO-USDT,0.10000000
OMG-USDT,0.10000000
THETA-USDT,0.10000000
ENJ-USDT,0.10000000
MITH-USDT,0.10000000
MATIC-USDT,0.10000000
ATOM-USDT,0.01000000
TFUEL-USDT,1.00000000
ONE-USDT,0.10000000
FTM-USDT,1.00000000
ALGO-USDT,1.00000000
USDSB-USDT,0.01000000
GTO-USDT,0.10000000
ERD-USDT,1.00000000
DOGE-USDT,1.00000000
DUSK-USDT,1.00000000
ANKR-USDT,0.10000000
WIN-USDT,1.00000000
COS-USDT,0.10000000
NPXS-USDT,1.00000000
COCOS-USDT,1.00000000
MTL-USDT,0.10000000
TOMO-USDT,0.10000000
PERL-USDT,0.10000000
DENT-USDT,1.00000000
MFT-USDT,1.00000000
KEY-USDT,1.00000000
STORM-USDT,1.00000000
DOCK-USDT,1.00000000
WAN-USDT,1.00000000
FUN-USDT,1.00000000
CVC-USDT,1.00000000
CHZ-USDT,1.00000000
BAND-USDT,0.10000000
BNBBUSD,0.00100000
BTCBUSD,0.00001000
BUSD-USDT,1.00000000
BEAM-USDT,1.00000000
XTZ-USDT,0.10000000
REN-USDT,1.00000000
RVN-USDT,0.10000000
HC-USDT,0.01000000
HBAR-USDT,1.00000000
NKN-USDT,1.00000000
XRPBUSD,1.00000000
