,Date,Type,Price,Units,StopLoss,Reason
0,2025-10-24 13:32:42.086092,Sell Short Open,5363.604936335447,-1,5502.835146610137,Price(5363.60) < Min20(5369.37)
1,2025-10-27 13:32:42.086092,Sell Short Add,5295.768590139388,-2,5433.305749691568,"Price(5295.77) < PrevEntry(5363.60) - 0.5*ATR, New Stop=5433.31"
2,2025-10-31 13:32:42.086092,Sell Short Add,5248.440342725743,-3,5386.099666124694,"Price(5248.44) < PrevEntry(5295.77) - 0.5*ATR, New Stop=5386.10"
3,2025-11-07 13:32:42.086092,Sell Short Add,5189.549018675747,-4,5320.285214105124,"Price(5189.55) < PrevEntry(5248.44) - 0.5*ATR, New Stop=5320.29"
4,2025-11-08 13:32:42.086092,Sell Short Add,5134.407525822309,-5,5266.661965987384,"Price(5134.41) < PrevEntry(5189.55) - 0.5*ATR, New Stop=5266.66"
5,2025-11-15 13:32:42.086092,Sell Short Add,5072.262808856364,-6,5208.431035712952,"Price(5072.26) < PrevEntry(5134.41) - 0.5*ATR, New Stop=5208.43"
6,2025-11-21 13:32:42.086092,Sell Short Add,5035.741972048206,-7,5173.984276100644,"Price(5035.74) < PrevEntry(5072.26) - 0.5*ATR, New Stop=5173.98"
7,2025-11-25 13:32:42.086092,Cover Close (Exit),5112.298230661844,0,0.0,Price(5112.30) > Max10(5110.32)
8,2025-12-03 13:32:42.086092,Sell Short Open,4997.929000734171,-1,5135.6837427105875,Price(4997.93) < Min20(5008.47)
9,2025-12-07 13:32:42.086092,Cover Close (Exit),5122.866990625877,0,0.0,Price(5122.87) > Max10(5118.48)
10,2025-12-08 13:32:42.086092,Buy Open (Long),5137.687896668579,1,5006.867866593717,"Price(5137.69) > Max20(5122.87), ATR=65.41"
11,2025-12-11 13:32:42.086092,Buy Add,5189.020932479528,2,5064.299161187085,"Price(5189.02) > PrevEntry(5137.69) + 0.5*ATR, New Stop=5064.30"
12,2025-12-13 13:32:42.086092,Buy Add,5252.466849688364,3,5125.261195675068,"Price(5252.47) > PrevEntry(5189.02) + 0.5*ATR, New Stop=5125.26"
13,2025-12-19 13:32:42.086092,Sell Close (Stop Loss),5088.9806686243455,0,0.0,Price(5088.98) < StopLoss(5125.26)
14,2025-12-25 13:32:42.086092,Sell Short Open,5079.736490762846,-1,5211.808057455025,Price(5079.74) < Min20(5080.04)
15,2025-12-31 13:32:42.086092,Cover Close (Exit),5173.392847765754,0,0.0,Price(5173.39) > Max10(5154.78)
16,2026-01-04 13:32:42.086092,Sell Short Open,5054.873059558323,-1,5185.621601940984,Price(5054.87) < Min20(5079.74)
17,2026-01-09 13:32:42.086092,Sell Short Add,5010.722183656716,-2,5135.750692693328,"Price(5010.72) < PrevEntry(5054.87) - 0.5*ATR, New Stop=5135.75"
18,2026-01-11 13:32:42.086092,Sell Short Add,4980.168541538884,-3,5099.368059607549,"Price(4980.17) < PrevEntry(5010.72) - 0.5*ATR, New Stop=5099.37"
19,2026-01-12 13:32:42.086092,Sell Short Add,4948.20473339673,-4,5070.272409690237,"Price(4948.20) < PrevEntry(4980.17) - 0.5*ATR, New Stop=5070.27"
20,2026-01-22 13:32:42.086092,Cover Close (Exit),5068.832643554234,0,0.0,Price(5068.83) > Max10(5050.02)
